CEP	CLIENTES	CATEGORIA	BAIRRO_CANDIDATO	FAMILIAS
74440410	2	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (1) | SAO JOSE (1)
74440460	3	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (2) | VILA SAO JOSE (1)
74440470	3	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (2) | SAO JOSE (1)
74440480	8	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (7) | VILA SAO JOSE (1)
74440500	3	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (2) | VILA SAO JOSE (1)
74440510	2	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (1) | SAO JOSE (1)
74440530	7	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (6) | VILA SAO JOSE (1)
74440550	11	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (8) | VILA SAO JOSE (3)
74440560	7	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (6) | VILA SAO JOSE (1)
74440590	6	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (5) | SAO JOSE (1)
74440630	5	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (3) | SAO JOSE (2)
74440640	11	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (9) | VILA SAO JOSE (2)
74440670	5	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (4) | VILA SAO JOSE (1)
74440700	3	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (2) | VILA SAO JOSE (1)
74440710	2	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (1) | SAO JOSE (1)
74441010	2	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (1) | SAO JOSE (1)
74445160	27	CANDIDATO_REVISAR_PRINCIPAL	VILA JOAO VAZ	VILA JOAO VAZ (26) | CAPUAVA (1)
74445190	5	BAIRROS_DIFERENTES	VILA JOAO VAZ	VILA JOAO VAZ (4) | NOROESTE (1)
74445230	18	CANDIDATO_REVISAR_PRINCIPAL	VILA JOAO VAZ	VILA JOAO VAZ (17) | JOAO VAZ (1)
74445260	12	CANDIDATO_REVISAR_PRINCIPAL	VILA JOAO VAZ	VILA JOAO VAZ (11) | CAPUAVA (1)
74445300	2	BAIRROS_DIFERENTES	CAPUAVA RESIDENCIAL PRIVE	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)
74445302	12	CANDIDATO_REVISAR_PRINCIPAL	CAPUAVA RESIDENCIAL PRIVE	CAPUAVA RESIDENCIAL PRIVE (10) | CAPUAVA (2)
74445305	2	BAIRROS_DIFERENTES	CAPUAVA RESIDENCIAL PRIVE	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)
