CEP	BAIRRO_CANDIDATO	CLIENTES	PERCENTUAL	STATUS	FAMILIAS
74394225	RESIDENCIAL BUENA VISTA I	5	80.0	REVISAR_80	RESIDENCIAL BUENA VISTA I (4) | RESIDENCIALBUENA VISTA I (1)
74394230	RESIDENCIAL BUENA VISTA I	2	50.0	REVISAR_AMBIGUO	RESIDENCIAL BUENA VISTA I (1) | RESI8DENCIAL BUENA VISTA I (1)
74394240	RESIENCIAL BUENA VISTA I	2	50.0	REVISAR_AMBIGUO	RESIENCIAL BUENA VISTA I (1) | RESIDENCIAL BUENA VISTA I (1)
74394620	RESIDENCIAL BUENA VISTA IV	3	66.7	REVISAR_AMBIGUO	RESIDENCIAL BUENA VISTA IV (2) | BUENA VISTA IV (1)
74400000	JARDIM NOVO MUNDO	63	20.6	REVISAR_AMBIGUO	JARDIM NOVO MUNDO (13) | JARDIM COLORADO (10) | JARDIM NOVA ESPERANCA (6) | JARDIM CURITIBA IV (4) | JARDIM DAS HORTENCIAS (3) | VILA JOAO VAZ (2) | NOVO PLANALTO (2) | VILA CRISTINA CONTINUACAO (2) | MANSOES PARAISO (2) | ESTRELA DALVA (1) | JARDIM LIBERDADE (1) | VILA MUTIRAO (1) | NOROESTE (1) | VILA ROMANA (1) | PARQUE INDUSTRIAL PAULISTA (1) | JARDIM PETROPOLIS (1) | MORADA DO SOL (1) | VILA REGINA (1) | RESIDENCIAL FORTALEZA (1) | SANTOS DUMONT (1) | CONJUNTO RESIDENCIAL ARUANA III (1) | VILA MARTINS (1) | DA VITORIA (1) | CAPUAVA (1) | JARDIM NOVO PETROPOLIS (1) | JARDIM GRAMADO (1) | CANDIDA DE MORAIS (1) | JARDIM VISTA BELA (1)
74435115	AEROVIARIO	9	88.9	REVISAR_80	AEROVIARIO (8) | VILA SAO JOSE (1)
74435280	AEROVIARIO	7	85.7	REVISAR_80	AEROVIARIO (6) | VILA SAO JOSE (1)
74440030	VILA SAO JOSE	2	50.0	REVISAR_AMBIGUO	VILA SAO JOSE (1) | SAO JOSE (1)
74440060	SAO JOSE	16	75.0	REVISAR_AMBIGUO	SAO JOSE (12) | VILA SAO JOSE (4)
74440080	VILA SAO JOSE	3	66.7	REVISAR_AMBIGUO	VILA SAO JOSE (2) | SAO JOSE (1)
74440120	SAO JOSE	3	66.7	REVISAR_AMBIGUO	SAO JOSE (2) | AEROVIARIO (1)
74440130	SAO JOSE	4	75.0	REVISAR_AMBIGUO	SAO JOSE (3) | VILA SAO JOSE (1)
74440140	SAO JOSE	4	75.0	REVISAR_AMBIGUO	SAO JOSE (3) | VILA SAO JOSE (1)
74440145	SAO JOSE	7	57.1	REVISAR_AMBIGUO	SAO JOSE (4) | VILA SAO JOSE (3)
74440240	SAO JOSE	7	71.4	REVISAR_AMBIGUO	SAO JOSE (5) | VILA SAO JOSE (2)
74440245	VILA SAO JOSE	5	60.0	REVISAR_AMBIGUO	VILA SAO JOSE (3) | SAO JOSE (2)
74440250	SAO JOSE	11	63.6	REVISAR_AMBIGUO	SAO JOSE (7) | VILA SAO JOSE (4)
74440300	SAO JOSE	9	66.7	REVISAR_AMBIGUO	SAO JOSE (6) | VILA SAO JOSE (3)
74440310	SAO JOSE	7	85.7	REVISAR_80	SAO JOSE (6) | VILA SAO JOSE (1)
74440340	SAO JOSE	7	57.1	REVISAR_AMBIGUO	SAO JOSE (4) | VILA SAO JOSE (3)
74440360	VILA SAO JOSE	4	50.0	REVISAR_AMBIGUO	VILA SAO JOSE (2) | SAO JOSE (2)
74440410	VILA SAO JOSE	2	50.0	REVISAR_AMBIGUO	VILA SAO JOSE (1) | SAO JOSE (1)
74440460	SAO JOSE	3	66.7	REVISAR_AMBIGUO	SAO JOSE (2) | VILA SAO JOSE (1)
74440470	VILA SAO JOSE	3	66.7	REVISAR_AMBIGUO	VILA SAO JOSE (2) | SAO JOSE (1)
74440480	SAO JOSE	8	87.5	REVISAR_80	SAO JOSE (7) | VILA SAO JOSE (1)
74440500	SAO JOSE	3	66.7	REVISAR_AMBIGUO	SAO JOSE (2) | VILA SAO JOSE (1)
74440510	VILA SAO JOSE	2	50.0	REVISAR_AMBIGUO	VILA SAO JOSE (1) | SAO JOSE (1)
74440530	SAO JOSE	7	85.7	REVISAR_80	SAO JOSE (6) | VILA SAO JOSE (1)
74440550	SAO JOSE	11	72.7	REVISAR_AMBIGUO	SAO JOSE (8) | VILA SAO JOSE (3)
74440560	SAO JOSE	7	85.7	REVISAR_80	SAO JOSE (6) | VILA SAO JOSE (1)
74440590	VILA SAO JOSE	6	83.3	REVISAR_80	VILA SAO JOSE (5) | SAO JOSE (1)
74440630	VILA SAO JOSE	5	60.0	REVISAR_AMBIGUO	VILA SAO JOSE (3) | SAO JOSE (2)
74440640	SAO JOSE	11	81.8	REVISAR_80	SAO JOSE (9) | VILA SAO JOSE (2)
74440670	SAO JOSE	5	80.0	REVISAR_80	SAO JOSE (4) | VILA SAO JOSE (1)
74440700	SAO JOSE	3	66.7	REVISAR_AMBIGUO	SAO JOSE (2) | VILA SAO JOSE (1)
74440710	VILA SAO JOSE	2	50.0	REVISAR_AMBIGUO	VILA SAO JOSE (1) | SAO JOSE (1)
74441010	VILA SAO JOSE	2	50.0	REVISAR_AMBIGUO	VILA SAO JOSE (1) | SAO JOSE (1)
74445160	VILA JOAO VAZ	27	96.3	REVISAR_95	VILA JOAO VAZ (26) | CAPUAVA (1)
74445190	VILA JOAO VAZ	5	80.0	REVISAR_80	VILA JOAO VAZ (4) | NOROESTE (1)
74445230	VILA JOAO VAZ	18	94.4	REVISAR_80	VILA JOAO VAZ (17) | JOAO VAZ (1)
74445260	VILA JOAO VAZ	12	91.7	REVISAR_80	VILA JOAO VAZ (11) | CAPUAVA (1)
74445300	CAPUAVA RESIDENCIAL PRIVE	2	50.0	REVISAR_AMBIGUO	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)
74445302	CAPUAVA RESIDENCIAL PRIVE	12	83.3	REVISAR_80	CAPUAVA RESIDENCIAL PRIVE (10) | CAPUAVA (2)
74445305	RESIDENCIAL PRIVE NORTE	2	50.0	REVISAR_AMBIGUO	RESIDENCIAL PRIVE NORTE (1) | CAPUAVA RESIDENCIAL PRIVE (1)
74445360	FAZENDA CAVEIRA	2	50.0	REVISAR_AMBIGUO	FAZENDA CAVEIRA (1) | FAZENDA CAVEIRAS (1)
74450170	CAPUAVA	19	94.7	REVISAR_80	CAPUAVA (18) | CANDIDA DE MORAES (1)
74450300	CAPUAVA	4	50.0	REVISAR_AMBIGUO	CAPUAVA (2) | PERIM (1) | JARDIM GRAMADO (1)
74450470	CAPUAVA	6	83.3	REVISAR_80	CAPUAVA (5) | MARABA (1)
74455070	JARDIM NOVA ESPERANCA	6	83.3	REVISAR_80	JARDIM NOVA ESPERANCA (5) | NOVA ESPERANCA (1)
74460020	JARDIM PETROPOLIS	23	95.7	REVISAR_95	JARDIM PETROPOLIS (22) | JARDIM PETROPLIS (1)
74460110	JARDIM PETROPOLIS	2	50.0	REVISAR_AMBIGUO	JARDIM PETROPOLIS (1) | JARDIM LIBERDADE (1)
74460500	JARDIM PETROPOLIS	7	71.4	REVISAR_AMBIGUO	JARDIM PETROPOLIS (5) | VILA REGINA (2)
74460970	MORADA DO SOL	3	33.3	REVISAR_AMBIGUO	MORADA DO SOL (1) | VALE DOS CARAIBAS (1) | VILA FINSOCIAL (1)
74463030	SANTOS DUMONT	2	50.0	REVISAR_AMBIGUO	SANTOS DUMONT (1) | PARQUE INDUSTRIAL PAULISTA (1)
74463100	PARQUE INDUSTRIAL PAULISTA	8	87.5	REVISAR_80	PARQUE INDUSTRIAL PAULISTA (7) | PARQUE INDUSTRIAL (1)
74463150	CANDIDA DE MORAIS	11	63.6	REVISAR_AMBIGUO	CANDIDA DE MORAIS (7) | CANDIDA DE MORAES (3) | CONDOMINIO MARESIA RESIDENCIAL ITAMARACA (1)
74463160	CANDIDA DE MORAIS	6	66.7	REVISAR_AMBIGUO	CANDIDA DE MORAIS (4) | CANDIDA DE MORAES (2)
